prop_name,area1,lat,lng
UniEstate Prime Tower, Jumeirah Village Circle,25.06515884,55.20885849
Golden Sands 6, Mankhool,25.25317383,55.29389954
Arezzo 1, Tuscan Residences,25.06196594,55.20819092
Elite Sports Residence 1, Elite Sports Residence,25.0430584,55.21646118
Equiti Apartments, Al Warsan 4,25.14368248,55.40363312
Blue Waves Tower, Dubai Residence Complex,25.09775734,55.37866211
Azizi Riviera 42, Meydan One,25.1733532,55.31042099
Me Do Re Tower, JLT Cluster L,25.06463242,55.13995743
Al Amir Residence, Jumeirah Village Circle,25.06048584,55.21343994
Adagio Jumeirah Village Triangle, Jumeirah Village Triangle,25.0417881,55.18780899
Millennium Binghatti Residences, Business Bay,25.18218994,55.27135468
Zumurud Tower, Dubai Marina,25.07022095,55.13376236
Al Muteena, Deira,25.27917671,55.33084869
Candace Aster, Azizi Residence,25.02778625,55.15669632
Naif Road, Naif,25.27300072,55.30560684
Capital Bay Tower A, Capital Bay,25.17672729,55.271595
Al Jaddaf Avenue, Al Jaddaf,25.22515488,55.33201218
Al Bakhit Building, Al Muhaisnah 4,25.28502846,55.39971161
Florence 1, Tuscan Residences,25.06459427,55.20876312
Alwan Residence 1, Dubai Production City (IMPZ),25.03629112,55.20269012
Diamond Views 3, Diamond Views,25.06218338,55.2177124
Shamal Waves, Jumeirah Village Circle,25.05064964,55.19866562
Artesia D, Artesia,25.02043724,55.24495697
Zen Cluster, Discovery Gardens,25.0468998,55.13297653
Sky Gardens, DIFC,25.21201706,55.2828598
Grand Belle Vue Hotel Apartment, Barsha Heights (Tecom),25.09412575,55.1757431
Millennium Plaza Hotel & Commercial Tower, Sheikh Zayed Road,25.21710396,55.27825165
E05, China Cluster,25.16369247,55.41340256
Dezire Residences, Jumeirah Village Circle,25.06078339,55.21537018
AZIZI Riviera 29, Meydan One,25.17350006,55.30610275
SOL Avenue, Business Bay,25.17949104,55.27481461
Golf Panorama B, Golf Panorama,25.01544952,55.25373459
Icon Tower 1, JLT Cluster M,25.06476784,55.13881302
Weston Court 2, Weston Court,25.04493904,55.24877167
K1, Dubai Residence Complex,25.08566475,55.38713837
The Gardens Buildings, The Gardens,25.04132652,55.13341904
Expo Village Residences 2A, Expo Village Residences,24.9635067,55.14318848
Binghatti Terraces, Dubai Silicon Oasis,25.12451363,55.40110397
The IVY, Jumeirah Village Triangle,25.04872894,55.1952095
Paramount Tower Hotel & Residences, Business Bay,25.19345093,55.26512146
Al Qusais Residential Area, Al Qusais,25.2758255,55.37125015
Al Alka 3, Al Alka,25.09020042,55.1751442
Azizi Riviera 30, Meydan One,25.17116356,55.30657959
Loreto 3 A, Loreto,25.01630211,55.25419998
Azizi Riviera 36, Meydan One,25.17289352,55.30812836
Lucky 1 Residence, Jumeirah Village Circle,25.0480957,55.20637131
Belgravia Square, Jumeirah Village Circle,25.0485611,55.20402527
AZIZI Riviera 4, Meydan One,25.17290878,55.30276108
AZIZI Riviera 27, Meydan One,25.15747261,55.30190659
DXB Tower, Sheikh Zayed Road,25.21363258,55.27584839
AZIZI Riviera 9, Meydan One,25.17352486,55.30358124
Bin Shabib Mall, Al Barsha South,25.05889893,55.22414017
F08, China Cluster,25.16411018,55.41502762
Rimal 2, Rimal,25.07707214,55.13423157
Marriott Harbour Hotel and Suites, Dubai Marina,25.08767128,55.14605331
AZIZI Riviera 48, Meydan One,25.17281914,55.31348038
AZIZI Riviera 7, Meydan One,25.1736412,55.30212784
ARAS Residence, Majan,25.09399796,55.31557846
Masaar Residence, Jumeirah Village Circle,25.05530357,55.19846725
Mesoamerican, Discovery Gardens,25.03144455,55.1570549
Oasis Star, Dubai Silicon Oasis,25.11304474,55.3854866
Royal Residence, Dubai Sports City,25.03263664,55.22263336
Barton House 1, Barton House,25.04483414,55.24247742
The Square Tower, Jumeirah Village Circle,25.06104469,55.21819687
Starz Tower 2, Starz by Danube,25.03185463,55.14035797
