,id,beds,baths,rating,reviews,capacity,title,revenue,occ,adr,lat,lng
0,abnb_776609934865148612,1,1.5,5.0,1,3,Brand-new 1BR/Stella Maris/Dubai Marina/Rich Stay,39822.39,47.92,865.7,25.069957265,55.132625806
0,abnb_1090278166087387476,1,1.5,5.0,1,3,"Spacious 1BR Apartment in Sky Gardens, DIFC",39815.05,52.38,904.89,25.212,55.2828
0,abnb_1065197796923613506,1,1.5,,,2,Skyline & Downtown view,39815.05,43.51,698.51,25.18721502,55.292390925
0,abnb_1009980427081217193,1,1.5,3.0,1,2,Furnished 1-Bed in Dubai Marina,39796.68,67.24,510.21,25.0811,55.1451
0,abnb_1015619019147818040,1,1.5,2.4,3,3,Minimalist 1BR Apt w/ Iconic Burj Khalifa Views!,39793.01,51.19,925.42,25.191321,55.2724099
0,abnb_1080218406129945455,1,1.0,5.0,7,2,The Residences Address Opera 1bed,39793.01,43.69,884.29,25.1966,55.2716
0,abnb_736144155098346986,1,1.5,,,4,"Everyday free housekeeping provided, 1 bedroom apt",39778.32,30.21,1371.67,25.07227,55.13215
0,abnb_1023860055553234790,1,1.5,4.5,6,3,Immaculate 1BR in JVC w/ Community Views!,39774.65,78.0,509.93,25.056754894,55.204512584
0,abnb_844732957610801302,1,1.5,5.0,1,3,Luxury 1 Bedroom Apartment in Jewels Tower Dubai Marina | Holiday Homes in Dubai Marina,39763.63,51.24,641.35,25.0748,55.1331
0,abnb_944843101266375176,1,2.0,5.0,3,4,Beachfront apartment,39759.95,39.72,710.0,25.1269446,55.153537
0,abnb_972854917406988334,1,1.5,5.0,9,2,West Avenue - Chic One Bedroom,39752.61,67.01,611.58,25.072816376,55.138877187
0,abnb_53287748,1,1.5,3.4,5,3,1 Bedroom Standard Apartment,39752.61,27.2,584.6,25.22295,55.28202
